,precision,recall,f1-score,support
Exiguobacterium,0.546236559139785,0.3913713405238829,0.45601436265709155,649.0
Faecalibacterium,0.4971324296141814,0.4515747099218565,0.4732597096413947,4223.0
Finegoldia,0.3902439024390244,0.016563146997929608,0.031777557100297914,966.0
Flavobacterium,0.24242424242424243,0.024242424242424242,0.0440771349862259,330.0
Franconibacter,0.453125,0.17956656346749225,0.2572062084257206,323.0
Fusobacterium,0.5319333816075308,0.4326266195524146,0.47716791165962974,8490.0
Garciella,0.4166666666666667,0.10736196319018405,0.17073170731707318,326.0
Gemella,0.5,0.0030864197530864196,0.006134969325153374,324.0
Gemmiger,0.5401459854014599,0.23948220064724918,0.33183856502242154,309.0
Granulicatella,0.41761363636363635,0.29938900203665986,0.3487544483985765,982.0
Halomonas,0.5266272189349113,0.27469135802469136,0.36105476673427994,324.0
Helicobacter,0.5603379984156325,0.7304647160068847,0.634190077704722,2905.0
Klebsiella,0.37636480411046885,0.3005128205128205,0.3341887653264899,1950.0
Lachnobacterium,0.3456603773584906,0.10708440495674539,0.1635130310603356,4277.0
Lachnoclostridium,0.0,0.0,0.0,325.0
Lachnospira,0.4685010861694424,0.3331616889804325,0.3894071622028288,1942.0
Lactobacillus,0.4468444551707494,0.45418864221758865,0.45048661800486617,8153.0
Leuconostoc,0.3770491803278688,0.16411824668705402,0.22869318181818182,981.0
Listeria,0.28169014084507044,0.06116207951070336,0.10050251256281408,327.0
Marvinbryantia,0.45454545454545453,0.04491017964071856,0.08174386920980926,334.0
Massiliomicrobiota,0.38461538461538464,0.06349206349206349,0.10899182561307902,315.0
Megamonas,0.4306930693069307,0.17755102040816326,0.2514450867052023,980.0
Megasphaera,0.5521642619311876,0.46801505174035746,0.5066191446028513,4252.0
Morganella,0.45849802371541504,0.36363636363636365,0.40559440559440557,319.0
Negativicoccus,0.4325581395348837,0.290625,0.34766355140186916,320.0
Neisseria,0.5376884422110553,0.33229813664596275,0.4107485604606526,322.0
Nesterenkonia,0.5620437956204379,0.2361963190184049,0.3326133909287257,326.0
Odoribacter,0.397341211225997,0.23503713411970292,0.29536096623661817,2289.0
Olsenella,0.5837742504409171,0.22555366269165247,0.32538707299090686,2935.0
Oribacterium,0.5297029702970297,0.3165680473372781,0.3962962962962963,338.0
Oscillibacter,0.5975319333189002,0.5633802816901409,0.5799537718007984,4899.0
Oxalobacter,0.37815126050420167,0.2054794520547945,0.26627218934911245,657.0
Paenibacillus,0.4594594594594595,0.10510046367851623,0.1710691823899371,647.0
Pantoea,0.40814558058925476,0.36091954022988504,0.38308255388369256,1305.0
Parabacteroides,0.3868520859671302,0.11776024629593997,0.18055760436642573,5197.0
Paraprevotella,0.45714285714285713,0.01225114854517611,0.023862788963460103,1306.0
Pediococcus,0.6388888888888888,0.1398176291793313,0.22942643391521197,329.0
Pelosinus,0.4010989010989011,0.10960960960960961,0.1721698113207547,666.0
Peptoniphilus,0.5697278911564626,0.3413722826086957,0.42693288020390824,2944.0
Peptostreptococcus,0.3333333333333333,0.006191950464396285,0.0121580547112462,323.0
Phascolarctobacterium,0.5038377192982456,0.5301923076923077,0.5166791604197901,5200.0
Phyllobacterium,0.3434343434343434,0.10429447852760736,0.16,326.0
Porphyromonas,0.750131787032156,0.7297435897435898,0.7397972446061867,3900.0
Prevotella,0.5558158846906697,0.6328853167634743,0.591852202747513,29612.0
Propionibacterium,0.5084745762711864,0.18575851393188855,0.272108843537415,646.0
Propionimicrobium,0.3888888888888889,0.13125,0.19626168224299065,320.0
Proteus,0.5,0.03785488958990536,0.07038123167155426,317.0
Providencia,0.3541666666666667,0.2599388379204893,0.2998236331569665,1635.0
Pseudobutyrivibrio,0.358974358974359,0.04375,0.07799442896935933,640.0
Pseudomonas,0.5018587360594795,0.31542056074766356,0.38737446197991393,1284.0
Ralstonia,0.4444444444444444,0.08484848484848485,0.14249363867684478,330.0
Robinsoniella,0.3157894736842105,0.009181331293037491,0.017843866171003718,1307.0
Roseburia,0.29239766081871343,0.13303315595579207,0.18286678857785904,4886.0
Rothia,0.5584415584415584,0.13395638629283488,0.21608040201005024,321.0
Ruminococcus,0.4052266081871345,0.5323889555822329,0.46018470478364637,20825.0
Sanguibacteroides,0.3333333333333333,0.015432098765432098,0.029498525073746312,324.0
Selenomonas,0.5838680109990834,0.39565217391304347,0.47167715660866344,1610.0
Slackia,0.5038860103626943,0.19816607233825778,0.28446069469835467,1963.0
Sneathia,0.0,0.0,0.0,320.0
Solobacterium,0.3927766990291262,0.43063952993272586,0.41083759850515883,11743.0
Sporolactobacillus,0.30666666666666664,0.06906906906906907,0.11274509803921569,333.0
Staphylococcus,0.3382352941176471,0.19827586206896552,0.25,1624.0
Streptococcus,0.4737454733574754,0.5330325960419092,0.5016433853738702,6872.0
Streptomyces,0.40784313725490196,0.32298136645962733,0.36048526863084923,322.0
Subdoligranulum,0.54,0.24695121951219512,0.3389121338912134,984.0
Succinatimonas,0.5346687211093991,0.3577319587628866,0.42865966646077824,970.0
Succiniclasticum,0.514726507713885,0.2856031128404669,0.36736736736736736,1285.0
Sutterella,0.48426150121065376,0.46245320414005725,0.4731061672768234,9082.0
Treponema,0.518783542039356,0.4482225656877898,0.48092868988391374,1294.0
Veillonella,0.5403124212648022,0.5991060203939098,0.5681923560972378,7159.0
Weissella,0.2777777777777778,0.01567398119122257,0.02967359050445104,319.0
Xylanibacter,0.3,0.009202453987730062,0.017857142857142856,652.0
accuracy,0.573496,0.573496,0.573496,0.573496
macro avg,0.44880942288855563,0.27061135133651804,0.30783320608075576,500000.0
weighted avg,0.5563486159159221,0.573496,0.5495133900013639,500000.0
