epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
19,1.5022741881504253,0.5863139471214017,0.5628462175115418,1.445840134880066,0.601668,0.5826365143264105,9.740436672108686e-06,0.00016234061120181143,4211.7,1068.4,0.42,0.0,6.14,2026-04-24T12:27:47.529769
20,1.494593524348954,0.5884637401865969,0.565217154147491,1.4443637741241455,0.602298,0.5825942373023208,8.226999625336663e-06,0.00013711666042227772,4211.5,1068.5,0.42,0.0,6.14,2026-04-24T13:38:00.051887
21,1.4878708492154513,0.590007528942428,0.5669764665907622,1.4337375234680176,0.60485,0.5842755887885894,6.795777628163599e-06,0.00011326296046939332,4211.0,1068.6,0.42,0.0,6.14,2026-04-24T14:48:12.204446
22,1.4807478941494674,0.5919608761662305,0.5691377434461781,1.4347786497955322,0.605422,0.587983787517685,5.464143776850483e-06,9.106906294750805e-05,4206.8,1069.7,0.42,0.0,6.2,2026-04-24T15:58:20.162532
23,1.4744378565056684,0.5935766654340653,0.5709559154407748,1.4291648738861085,0.606152,0.5886220957826616,4.248262302473233e-06,7.080437170788723e-05,4204.6,1070.3,0.42,0.0,6.14,2026-04-24T17:08:25.815893
24,1.4677735156204692,0.5949473418477642,0.5726077587408102,1.419588343231201,0.608422,0.5891678933657538,3.162892359054098e-06,5.271487265090164e-05,4205.9,1069.9,0.42,0.0,6.14,2026-04-24T18:18:32.759194
25,1.4619886908179625,0.5965824645864148,0.574411139361632,1.4205968952789307,0.608656,0.591188395911669,2.221208867425096e-06,3.7020147790418265e-05,4202.4,1070.8,0.42,0.0,6.14,2026-04-24T19:28:36.299680
26,1.4573532219178063,0.5974504707589032,0.5754116612768706,1.4131565916748048,0.610252,0.5926298711428392,1.4346425895363385e-06,2.3910709825605642e-05,4203.8,1070.5,0.42,0.0,6.23,2026-04-24T20:38:41.257619
27,1.4525297997259337,0.5988542585191717,0.5769996605802836,1.4120300084228516,0.610694,0.5933474894303404,8.127413744904805e-07,1.354568957484134e-05,4204.8,1070.2,0.42,0.0,6.17,2026-04-24T21:48:47.149940
28,1.4500156692615451,0.599314706237911,0.5774883652999416,1.4098700790252685,0.61108,0.5938872138263664,3.630542605884657e-07,6.050904343141095e-06,4217.7,1066.9,0.42,0.0,6.17,2026-04-24T22:59:05.868234
29,1.4476162475257321,0.599863376806235,0.578142978889143,1.407362722518921,0.612,0.5944624579444538,9.103984023075773e-08,1.517330670512629e-06,4205.9,1069.9,0.42,0.0,6.23,2026-04-25T00:09:12.812026
30,1.4464035658370324,0.6001164897172602,0.5783857818870934,1.407159444946289,0.612004,0.5944603178900479,0.0,0.0,4214.7,1067.7,0.42,0.0,6.17,2026-04-25T01:19:28.536912
